speed,length,tem,y
9.375,108.084,1445.125,104.35
9.875,108.242,1444.125,104.349
9.875,108.405,1445.5,104.379
9.875,108.558,1444.875,104.358
9.875,108.702,1444.75,104.344
10.25,108.858,1445,104.372
8.875,109.012,1444.625,104.337
8.375,109.147,1443.75,104.304
7.75,109.289,1443.5,104.283
8.375,109.426,1444.125,104.282
7.625,109.563,1443.875,104.253
7.375,109.701,1444.5,104.248
8.375,109.845,1444.875,104.251
8.875,110.038,1444.75,104.28
9.75,110.131,1444.625,104.275
6,110.25,1443.625,104.184
8.375,110.364,1444.875,104.208
9,110.496,1445,104.229
8,110.636,1444.875,104.225
7.5,110.773,1445.375,104.224
5.75,110.885,1444.75,104.165
8.75,111.003,1444.875,104.201
6.5,111.136,1444.625,104.162
7.125,111.241,1444.75,104.148
6.5,111.366,1444.875,104.151
6.125,111.455,1444.5,104.089
5.25,111.545,1443.875,104.054
7.625,111.685,1445,104.097
6.75,111.801,1444.5,104.101
5.25,111.862,1444.5,104.067
6.5,111.948,1444.625,104.077
6.75,112.062,1444.5,104.102
4.875,112.153,1444.125,104.053
5.125,112.241,1443.875,104.048
6.375,112.355,1445.375,104.088
7,112.462,1444.75,104.104
8.625,112.597,1444.875,104.154
5.25,112.704,1444.625,104.086
7.375,112.809,1444.625,104.107
7.25,112.923,1444.75,104.117
6.25,113.03,1444.875,104.106
6.5,113.139,1444.5,104.099
5.375,113.232,1444.875,104.083
6.375,113.349,1444.875,104.1
6.375,113.458,1444.125,104.09
7.375,113.579,1445.75,104.114
6.75,113.7,1444.625,104.11
6.5,113.795,1444.5,104.076
7.25,113.902,1444.75,104.099
8.375,114.03,1445.75,104.145
8,114.161,1445,104.14
7.125,114.282,1444.625,104.128
6.5,114.396,1444.625,104.118
6.5,114.505,1444.625,104.111
5.25,114.607,1444.5,104.078
7,114.724,1444.875,104.103
3.75,114.814,1444.75,104.019
4.75,114.91,1443.5,104.021
6.5,114.996,1445.25,104.023
7,115.108,1446,104.049
7.75,115.21,1445,104.071
6.75,115.324,1444.875,104.061
7.75,115.417,1444.5,104.066
5.375,115.529,1444.625,104.049
5.5,115.612,1444.75,104.038
5.875,115.719,1444.875,104.051
5.5,115.81,1444.125,104.021
5.25,115.892,1444.25,104
6,115.998,1444.625,104.044
5.625,116.101,1444.75,104.025
6.75,116.196,1444.75,104.038
7,116.313,1444.875,104.066
6.5,116.415,1444.625,104.041
6.625,116.51,1446.375,104.052
7.75,116.62,1444.875,104.078
4.875,116.727,1444.5,104.051
7.25,116.817,1444.625,104.065
7,116.92,1444.5,104.069
5.875,117.036,1444.375,104.058
5.125,117.127,1443.125,104.016
6.75,117.227,1443.125,104.048
7.625,117.346,1444.375,104.084
6,117.45,1443.75,104.047
7.25,117.55,1443.125,104.068
8.125,117.664,1443,104.081
7.25,117.767,1443.125,104.074
8,117.876,1443.625,104.098
9.25,118.02,1444,104.165
9.125,118.169,1444.25,104.198
8.5,118.318,1443.75,104.191
7.75,118.46,1443.375,104.181
10.125,118.616,1444.75,104.264
8.75,118.776,1444.125,104.267
9.375,118.93,1445.375,104.325
7.75,119.072,1444.25,104.279
9.375,119.214,1443,104.283
10.25,119.372,1444.5,104.34
10.125,119.533,1445.375,104.389
10,119.691,1444.5,104.402
9.5,119.842,1445.25,104.379
9,119.993,1444.625,104.356
8,120.144,1446.125,104.366
7.25,120.268,1444,104.297
8.75,120.407,1444.625,104.307
8.625,120.556,1444.5,104.304
8.25,120.691,1443.875,104.271
8.375,120.81,1443,104.235
7,120.926,1443.125,104.211
9.625,121.066,1444.75,104.275
8.5,121.21,1444.5,104.274
8.625,121.34,1444.375,104.28
8.375,121.492,1446.125,104.293
9,121.64,1444.625,104.291
7.75,121.775,1444.75,104.259
8.75,121.922,1444.75,104.27
7.375,122.048,1444.625,104.222
9.375,122.169,1445.5,104.239
9.5,122.364,1445,104.255
7.625,122.452,1444.875,104.236
8.75,122.576,1444.5,104.227
7.75,122.697,1443.875,104.207
8.125,122.829,1443.75,104.222
7,122.957,1443.375,104.197
8.5,123.076,1444.625,104.211
7.875,123.216,1444.625,104.206
8.375,123.355,1445.75,104.237
8.25,123.495,1444.875,104.229
10,123.637,1446,104.257
9.625,123.788,1444.875,104.265
8.125,123.932,1444.875,104.238
10.125,124.079,1444.75,104.278
7.625,124.221,1444.5,104.232
9.25,124.356,1444.75,104.237
7.625,124.493,1444.875,104.214
8.75,124.644,1444.875,104.242
7.5,124.767,1445.25,104.19
8.25,124.902,1444.75,104.202
8.375,125.019,1444.75,104.18
7.75,125.156,1444.75,104.171
8.125,125.284,1444.75,104.168
7.75,125.405,1444.125,104.148
6.5,125.51,1443.75,104.088
7.375,125.619,1443.375,104.099
